PlateVoltage,0V,-0.5V,-1.0V,-1.5V,-2.0V,-2.5V,-3.0V,-3.5V,-4.0V,-5.0V
33.481,0.0148381,0.0117836,0.0095384,0.0073384,0.005622,0.0043164,0.0028922,0.0018115,0.0010911,0.0001773
34.164,0.0149487,0.011858,0.0095812,0.0073615,0.0056483,0.0043326,0.0029054,0.0018197,0.001097,0.0001791
34.847,0.0150439,0.0119325,0.009624,0.0073845,0.005666,0.0043417,0.0029187,0.0018279,0.0011029,0.0001808
35.53,0.0151089,0.0119924,0.0096668,0.0074076,0.0056746,0.0043507,0.002929,0.0018361,0.0011087,0.0001826
36.213,0.015174,0.0120435,0.009705,0.0074306,0.0056832,0.0043598,0.0029347,0.0018443,0.0011146,0.0001843
36.897,0.0152391,0.0120945,0.0097197,0.0074537,0.0056918,0.0043688,0.0029404,0.0018525,0.0011205,0.0001861
37.58,0.0153042,0.0121456,0.0097344,0.0074767,0.0057003,0.0043778,0.0029461,0.0018607,0.0011264,0.0001879
38.263,0.0153692,0.0121966,0.0097491,0.0074998,0.0057089,0.0043869,0.0029518,0.0018689,0.0011322,0.0001896
38.946,0.0154343,0.0122477,0.0097638,0.0075228,0.0057175,0.0043959,0.0029575,0.001877,0.0011381,0.0001914
39.629,0.0154994,0.0122987,0.0097784,0.0075459,0.0057261,0.0044049,0.0029632,0.0018852,0.001144,0.0001931
40.312,0.0155301,0.0123456,0.0097931,0.0075518,0.0057347,0.004414,0.0029689,0.0018934,0.0011482,0.0001951
40.995,0.0155599,0.0123906,0.0098078,0.0075575,0.0057433,0.004423,0.0029746,0.0019016,0.0011502,0.0001971
41.678,0.0155897,0.0124356,0.0098225,0.0075632,0.0057519,0.0044321,0.0029803,0.0019098,0.0011522,0.0001992
42.361,0.0156195,0.0124806,0.0098372,0.0075689,0.0057605,0.0044411,0.002986,0.001918,0.0011542,0.0002012
43.045,0.0156493,0.0125256,0.0098519,0.0075745,0.0057668,0.0044501,0.0029917,0.0019262,0.0011562,0.0002033
43.728,0.0156792,0.0125707,0.0098666,0.0075802,0.0057692,0.0044592,0.0029974,0.0019289,0.0011583,0.0002053
