PlateVoltage,0V,-1V,-2V,-3V,-4V
384.286,0.0063433,0.0042423,0.0026239,0.0014274,0.0004985
386.51,0.0063444,0.0042416,0.002625,0.0014268,0.0004996
388.209,0.0063452,0.004241,0.0026258,0.0014264,0.0005004
404.908,0.006353,0.0042489,0.0026336,0.0014221,0.0005082
405.157,0.0063531,0.004249,0.0026337,0.001422,0.0005083
408.568,0.0063547,0.0042506,0.0026353,0.0014203,0.0005099
415.681,0.006358,0.0042539,0.0026386,0.0014169,0.0005132
416.219,0.0063583,0.0042541,0.0026389,0.0014166,0.0005135
422.305,0.0063611,0.004257,0.0026417,0.0014137,0.0005087
427.274,0.0063634,0.0042593,0.002644,0.0014113,0.0005047
433.154,0.0063662,0.0042621,0.0026468,0.0014084,0.0005001
