PlateVoltage,0,-5,-10,-15,-20,-25,-30,-35
130.175,0.0827283,0.0627765,0.047779,0.0344976,0.0230572,0.0136166,0.0069446,0.0027281
133.314,0.0829594,0.0630012,0.0479286,0.0345983,0.0231433,0.0136559,0.0069823,0.0027425
135.795,0.083142,0.0631788,0.0480469,0.0346779,0.0232114,0.0136885,0.0070158,0.0027518
141.103,0.0835327,0.0635589,0.0483,0.0348482,0.023357,0.0137634,0.0070977,0.0027671
141.512,0.0835628,0.0635881,0.0483195,0.0348613,0.0233623,0.0137695,0.0071044,0.0027681
142.245,0.0836168,0.0636236,0.0483545,0.0348848,0.0233719,0.0137804,0.0071167,0.0027698
151.376,0.0841352,0.0640654,0.0487898,0.0351777,0.0234913,0.013923,0.0072742,0.0027875
159.094,0.0845735,0.0644388,0.0490659,0.0354252,0.0235921,0.0140491,0.007395,0.0028056
160.536,0.0846553,0.0645086,0.0491174,0.0354715,0.023611,0.0140727,0.0074148,0.0028105
161.91,0.0847333,0.064575,0.0491665,0.0355083,0.0236289,0.014095,0.0074328,0.0028159
161.932,0.0847346,0.0645761,0.0491673,0.0355089,0.0236292,0.0140954,0.0074331,0.002816
162.256,0.084753,0.0645918,0.0491789,0.0355176,0.0236378,0.0141006,0.0074372,0.0028175
162.369,0.0847594,0.0645973,0.049183,0.0355207,0.0236408,0.0141024,0.0074386,0.002818
165.166,0.0849333,0.0647326,0.049283,0.0355957,0.0237149,0.0141467,0.007472,0.0028329
181.031,0.08592,0.0653931,0.0498504,0.0360215,0.0241352,0.0143207,0.0076137,0.0029711
181.335,0.0859389,0.0654058,0.0498565,0.0360296,0.0241432,0.014322,0.0076158,0.0029735
182.055,0.0859836,0.0654358,0.0498709,0.0360489,0.0241623,0.0143247,0.0076207,0.0029791
182.14,0.0859889,0.0654393,0.0498727,0.0360512,0.0241634,0.014325,0.0076213,0.0029797
185.909,0.0861703,0.0655962,0.0499484,0.0361524,0.0242127,0.0143317,0.0076454,0.0030041
186.348,0.0861914,0.0656145,0.0499572,0.0361642,0.0242184,0.014332,0.007648,0.0030064
187.014,0.0862235,0.0656285,0.0499706,0.036182,0.0242271,0.0143323,0.007652,0.0030097
200.036,0.0868502,0.0659031,0.0502324,0.0364328,0.0243973,0.0143804,0.0077141,0.003042
202.264,0.0869574,0.06595,0.0502772,0.0364757,0.0244264,0.0144153,0.0077221,0.0030429
202.517,0.0869707,0.0659554,0.0502822,0.0364806,0.0244297,0.0144202,0.0077229,0.0030429
202.884,0.08699,0.0659631,0.0502896,0.0364877,0.0244345,0.0144277,0.0077242,0.0030429
203.272,0.0870105,0.0659713,0.0502974,0.0364952,0.024445,0.0144362,0.0077255,0.0030429
211.767,0.0874576,0.0661504,0.0505145,0.0366588,0.024674,0.0146987,0.0077497,0.0030343
214.903,0.0876226,0.0662307,0.0505946,0.0367192,0.0247585,0.0147985,0.0077572,0.0030268
216.975,0.0877317,0.0662838,0.0506475,0.0367548,0.0248143,0.0148549,0.007762,0.0030204
