PlateVoltage,0V,-2V,-4V,-6V,-8V,-10V,-12V,-14V,-16V
87.91,0.13291,0.1062,0.08178,0.06077,0.04333,0.02787,0.01687,0.00871,0.00365
89.29,0.13305,0.10637,0.08193,0.06094,0.04345,0.02806,0.01695,0.0088,0.00376
90.66,0.13319,0.10653,0.08207,0.06111,0.04357,0.02825,0.01702,0.00888,0.00388
92.03,0.13332,0.1067,0.08222,0.06127,0.04368,0.02843,0.01709,0.00896,0.00401
93.41,0.13345,0.10687,0.08238,0.06143,0.04379,0.0286,0.01716,0.00905,0.00415
94.78,0.13358,0.10704,0.08253,0.06158,0.0439,0.02877,0.01722,0.00912,0.0043
96.15,0.13372,0.10722,0.08269,0.06172,0.04401,0.02892,0.01728,0.0092,0.00444
97.53,0.13386,0.1074,0.08285,0.06186,0.04411,0.02907,0.01734,0.00928,0.00458
98.9,0.13401,0.10757,0.08301,0.062,0.04421,0.0292,0.01739,0.00935,0.00469
100.27,0.13417,0.10775,0.08316,0.06212,0.04431,0.02933,0.01745,0.00943,0.00478
101.65,0.13434,0.10792,0.08332,0.06223,0.0444,0.02945,0.0175,0.0095,0.00484
103.02,0.13452,0.10808,0.08347,0.06234,0.04449,0.02956,0.01756,0.00957,0.00487
104.4,0.1347,0.10824,0.08362,0.06244,0.04458,0.02966,0.01761,0.00963,0.0049
105.77,0.13488,0.1084,0.08377,0.06252,0.04467,0.02975,0.01766,0.0097,0.00491
107.14,0.13507,0.10854,0.08391,0.0626,0.04476,0.02984,0.01772,0.00976,0.00491
108.52,0.13526,0.10868,0.08405,0.06268,0.04485,0.02993,0.01778,0.00982,0.00491
109.89,0.13546,0.10881,0.08418,0.06275,0.04494,0.03001,0.01783,0.00988,0.00491
111.26,0.13565,0.10894,0.08431,0.06281,0.04502,0.03009,0.01789,0.00993,0.00491
112.64,0.13585,0.10906,0.08442,0.06287,0.04511,0.03016,0.01796,0.00998,0.00491
114.01,0.13604,0.10917,0.08453,0.06293,0.04519,0.03024,0.01802,0.01003,0.0049
115.38,0.13623,0.10929,0.08464,0.06299,0.04527,0.03031,0.01809,0.01008,0.0049
116.76,0.13643,0.1094,0.08474,0.06304,0.04535,0.03038,0.01817,0.01012,0.0049
118.13,0.13662,0.10951,0.08484,0.0631,0.04542,0.03045,0.01824,0.01016,0.0049
119.51,0.13681,0.10961,0.08493,0.06316,0.0455,0.03051,0.01832,0.01019,0.00491
120.88,0.13699,0.10972,0.08502,0.06322,0.04557,0.03058,0.01841,0.01022,0.00491
122.25,0.13718,0.10983,0.08511,0.06328,0.04564,0.03064,0.0185,0.01025,0.00492
123.63,0.13736,0.10995,0.08519,0.06335,0.04571,0.0307,0.01858,0.01027,0.00493
125,0.13753,0.11006,0.08528,0.06342,0.04579,0.03076,0.01867,0.01029,0.00495
126.37,0.1377,0.11018,0.08536,0.06349,0.04586,0.03082,0.01877,0.01031,0.00496
127.75,0.13786,0.1103,0.08545,0.06358,0.04593,0.03088,0.01886,0.01033,0.00497
129.12,0.13802,0.11043,0.08554,0.06367,0.04601,0.03093,0.01894,0.01035,0.00499
130.49,0.13817,0.11057,0.08563,0.06376,0.04609,0.03098,0.01903,0.01038,0.00501
131.87,0.1383,0.11071,0.08572,0.06386,0.04617,0.03102,0.01911,0.0104,0.00503
133.24,0.13843,0.11086,0.08581,0.06397,0.04626,0.03107,0.01919,0.01042,0.00504
134.62,0.13855,0.11101,0.08591,0.06408,0.04634,0.03111,0.01927,0.01045,0.00506
135.99,0.13866,0.11117,0.08601,0.06419,0.04643,0.03115,0.01934,0.01048,0.00508
137.36,0.13876,0.11132,0.08611,0.0643,0.04652,0.03119,0.01941,0.01051,0.0051
138.74,0.13886,0.11148,0.08621,0.06441,0.04662,0.03124,0.01946,0.01054,0.00512
140.11,0.13896,0.11163,0.08632,0.06452,0.04671,0.03128,0.01951,0.01057,0.00514
141.48,0.13905,0.11179,0.08643,0.06464,0.04681,0.03133,0.01956,0.0106,0.00516
142.86,0.13915,0.11194,0.08654,0.06475,0.04691,0.03139,0.01959,0.01064,0.00518
144.23,0.13925,0.11208,0.08665,0.06487,0.047,0.03145,0.01962,0.01067,0.0052
145.6,0.13935,0.11222,0.08677,0.06498,0.0471,0.03151,0.01965,0.01071,0.00522
146.98,0.13946,0.11236,0.08688,0.06509,0.0472,0.03159,0.01967,0.01075,0.00524
148.35,0.13958,0.11249,0.08699,0.06519,0.0473,0.03167,0.01969,0.01079,0.00525
149.73,0.1397,0.11261,0.08711,0.0653,0.0474,0.03175,0.0197,0.01084,0.00527
151.1,0.13982,0.11273,0.08722,0.06539,0.0475,0.03184,0.01971,0.01088,0.00528
152.47,0.13996,0.11285,0.08733,0.06549,0.04759,0.03193,0.01971,0.01093,0.00529
153.85,0.14011,0.11296,0.08744,0.06557,0.04769,0.03202,0.01971,0.01097,0.0053
155.22,0.14028,0.11307,0.08755,0.06565,0.04779,0.03211,0.01971,0.01102,0.00531
156.59,0.14046,0.11318,0.08766,0.06572,0.04788,0.03221,0.01971,0.01107,0.00531
157.97,0.14063,0.11329,0.08777,0.06578,0.04797,0.0323,0.0197,0.01111,0.00531
159.34,0.1408,0.11339,0.08787,0.06583,0.04807,0.03239,0.0197,0.01116,0.00531
160.71,0.14096,0.11349,0.08797,0.06588,0.04815,0.03248,0.01969,0.0112,0.00531
162.09,0.14111,0.11359,0.08807,0.06592,0.04824,0.03257,0.01969,0.01124,0.0053
163.46,0.14126,0.11369,0.08816,0.06596,0.04832,0.03266,0.01968,0.01128,0.00529
164.84,0.1414,0.11379,0.08825,0.06599,0.0484,0.03274,0.01968,0.01132,0.00529
