AnodeVoltage,0V,-2V,-4V,-6V,-8V,-10V,-12V,-14V,-16V
192.99,0.14342,0.11591,0.08973,0.06711,0.04895,0.03286,0.02018,0.01151,0.00574
194.37,0.14353,0.11601,0.08981,0.06718,0.04901,0.03289,0.02022,0.01153,0.00577
195.05,0.14358,0.11607,0.08985,0.06721,0.04904,0.03291,0.02024,0.01154,0.00578
196.43,0.14369,0.11617,0.08993,0.06728,0.0491,0.03294,0.02029,0.01156,0.0058
212.91,0.14496,0.11737,0.09088,0.06807,0.04978,0.03337,0.0208,0.01176,0.00601
228.71,0.14611,0.11843,0.09175,0.06879,0.05038,0.03376,0.02119,0.01196,0.00605
234.2,0.14649,0.11878,0.09203,0.06902,0.05058,0.03389,0.02128,0.01204,0.00604
236.95,0.14667,0.11895,0.09217,0.06913,0.05068,0.03395,0.02132,0.01208,0.00603
237.64,0.14672,0.11899,0.09221,0.06916,0.0507,0.03397,0.02132,0.01209,0.00603
247.25,0.14731,0.11957,0.09268,0.06952,0.05103,0.03417,0.02139,0.01224,0.00602
252.75,0.14763,0.11988,0.09293,0.06972,0.05121,0.03429,0.02141,0.01233,0.00601
254.12,0.14771,0.11995,0.093,0.06977,0.05125,0.03431,0.02142,0.01236,0.00601
265.11,0.14831,0.12053,0.09347,0.07014,0.05159,0.03452,0.02146,0.01255,0.00604
279.53,0.14903,0.1212,0.09405,0.07061,0.05202,0.03475,0.02157,0.0128,0.00615
282.28,0.14916,0.12132,0.09416,0.0707,0.05209,0.03479,0.02161,0.01285,0.00618
298.76,0.14994,0.12193,0.09475,0.07124,0.05255,0.03503,0.02187,0.0131,0.00636
315.25,0.15074,0.12241,0.0953,0.07183,0.05298,0.03524,0.02221,0.01328,0.00656
317.99,0.15088,0.12248,0.09539,0.07193,0.05305,0.03528,0.02227,0.0133,0.0066
321.43,0.15107,0.12257,0.0955,0.07206,0.05313,0.03532,0.02235,0.01333,0.00664
324.86,0.15126,0.12265,0.09561,0.07218,0.05322,0.03536,0.02243,0.01334,0.00668
327.61,0.15142,0.12272,0.0957,0.07228,0.05329,0.0354,0.02249,0.01335,0.00671
333.79,0.1518,0.12287,0.09589,0.0725,0.05344,0.03548,0.02264,0.01336,0.00678
348.9,0.15277,0.12325,0.09636,0.073,0.05378,0.03567,0.023,0.01332,0.00693
359.2,0.15335,0.12356,0.09668,0.07331,0.05399,0.0358,0.02324,0.01329,0.00701
360.58,0.15342,0.1236,0.09672,0.07335,0.05402,0.03581,0.02328,0.01328,0.00702
363.32,0.15355,0.1237,0.0968,0.07343,0.05407,0.03585,0.02334,0.01328,0.00704
375,0.15403,0.12418,0.09716,0.07374,0.05428,0.036,0.02361,0.01329,0.0071
382.55,0.1543,0.12456,0.09739,0.07393,0.0544,0.0361,0.02378,0.01336,0.00714
383.24,0.15432,0.12459,0.09741,0.07395,0.05441,0.03611,0.02379,0.01337,0.00714
392.86,0.15463,0.12514,0.0977,0.07418,0.05455,0.03624,0.024,0.01354,0.00717
396.98,0.15476,0.1254,0.09783,0.07428,0.0546,0.0363,0.02408,0.01364,0.00718
410.03,0.15476,0.12626,0.09823,0.07458,0.05474,0.03649,0.02433,0.01402,0.0072
413.46,0.15476,0.12649,0.09834,0.07466,0.05478,0.03654,0.02439,0.01413,0.0072
415.52,0.15476,0.12649,0.09841,0.07471,0.0548,0.03658,0.02442,0.0142,0.0072
432.01,0.15476,0.12649,0.09892,0.07507,0.05495,0.03685,0.02467,0.01468,0.0072
436.81,0.15476,0.12649,0.09892,0.07517,0.05499,0.03694,0.02473,0.01478,0.0072
442.99,0.15476,0.12649,0.09892,0.07531,0.05504,0.03705,0.02481,0.01489,0.0072
451.24,0.15476,0.12649,0.09892,0.07548,0.0551,0.03721,0.0249,0.01496,0.0072
456.73,0.15476,0.12649,0.09892,0.07548,0.05514,0.03733,0.02496,0.01499,0.00721
468.41,0.15476,0.12649,0.09892,0.07548,0.05514,0.03756,0.02507,0.01496,0.00721
477.34,0.15476,0.12649,0.09892,0.07548,0.05514,0.03756,0.02516,0.0149,0.00722
486.95,0.15476,0.12649,0.09892,0.07548,0.05514,0.03756,0.02516,0.01482,0.00723
493.82,0.15476,0.12649,0.09892,0.07548,0.05514,0.03756,0.02516,0.01482,0.00724
