PlateVoltage,0V,-5V,-10V,-15V,-20V,-25V,-30V,-35V,-40V,-45V,-50V
27.6,0.0162,0.00203,2e-05,-0.00023,-0.0003,-0.00012,2e-05,-0.00013,7e-05,-0.00014,1e-05
28.19,0.01665,0.00225,2e-05,-0.00021,-0.0003,-0.00012,1e-05,-0.00013,8e-05,-0.00014,2e-05
28.78,0.01711,0.00247,3e-05,-0.0002,-0.0003,-0.00012,1e-05,-0.00013,9e-05,-0.00014,2e-05
29.38,0.01757,0.00269,3e-05,-0.00019,-0.0003,-0.00012,8e-06,-0.00013,0.0001,-0.00014,2e-05
29.97,0.01805,0.00291,3e-05,-0.00018,-0.00029,-0.00013,5e-06,-0.00013,0.00011,-0.00014,3e-05
30.56,0.01853,0.00313,3e-05,-0.00017,-0.00029,-0.00013,2e-06,-0.00013,0.00012,-0.00013,3e-05
31.16,0.01903,0.00335,2e-05,-0.00015,-0.00029,-0.00013,-1e-06,-0.00012,0.00013,-0.00013,3e-05
31.75,0.01955,0.00356,1e-05,-0.00014,-0.00028,-0.00014,-4e-06,-0.00012,0.00015,-0.00013,4e-05
32.34,0.02008,0.00377,2e-06,-0.00013,-0.00028,-0.00014,-8e-06,-0.00012,0.00015,-0.00013,4e-05
32.94,0.02063,0.00397,-1e-05,-0.00011,-0.00027,-0.00014,-1e-05,-0.00012,0.00016,-0.00012,4e-05
33.53,0.02119,0.00418,-2e-05,-0.0001,-0.00027,-0.00015,-2e-05,-0.00011,0.00017,-0.00012,4e-05
34.12,0.02175,0.00439,-4e-05,-9e-05,-0.00026,-0.00015,-2e-05,-0.00011,0.00018,-0.00012,5e-05
34.72,0.02231,0.0046,-5e-05,-7e-05,-0.00026,-0.00016,-2e-05,-0.00011,0.00019,-0.00012,5e-05
35.31,0.02287,0.00481,-7e-05,-6e-05,-0.00025,-0.00016,-3e-05,-0.00011,0.00019,-0.00011,5e-05
35.9,0.02342,0.00502,-8e-05,-5e-05,-0.00024,-0.00017,-3e-05,-0.0001,0.0002,-0.00011,5e-05
36.5,0.02397,0.00524,-0.0001,-3e-05,-0.00023,-0.00018,-4e-05,-0.0001,0.0002,-0.00011,5e-05
37.09,0.02449,0.00547,-0.00011,-2e-05,-0.00023,-0.00018,-4e-05,-0.0001,0.00021,-0.0001,5e-05
37.68,0.02501,0.00571,-0.00012,-8e-06,-0.00022,-0.00019,-5e-05,-0.0001,0.00021,-0.0001,5e-05
38.28,0.02551,0.00597,-0.00013,4e-06,-0.00021,-0.00019,-5e-05,-9e-05,0.00021,-9e-05,5e-05
38.87,0.02601,0.00625,-0.00014,2e-05,-0.0002,-0.0002,-6e-05,-9e-05,0.00021,-9e-05,5e-05
