PlateVoltage,0V,-5V,-10V,-15V,-20V,-25V,-30V,-35V,-40V,-45V,-50V
125.52,0.11524,0.09312,0.04624,0.0212,0.00565,-0.00026,-0.00022,1e-05,0.00028,0.00014,-0.00014
126.11,0.11524,0.094,0.04691,0.02159,0.00584,-0.00023,-0.00021,5e-06,0.00028,0.00014,-0.00015
126.7,0.11524,0.09492,0.04758,0.02198,0.00603,-0.0002,-0.0002,-1e-06,0.00028,0.00014,-0.00015
127.3,0.11524,0.09588,0.04824,0.02238,0.00623,-0.00017,-0.00019,-7e-06,0.00028,0.00014,-0.00015
127.89,0.11524,0.09689,0.04891,0.02279,0.00642,-0.00013,-0.00017,-1e-05,0.00028,0.00013,-0.00015
128.49,0.11524,0.09794,0.04957,0.0232,0.00662,-9e-05,-0.00016,-2e-05,0.00029,0.00013,-0.00015
129.08,0.11524,0.09901,0.05024,0.02362,0.00682,-4e-05,-0.00015,-2e-05,0.00029,0.00012,-0.00015
129.67,0.11524,0.09918,0.0509,0.02404,0.00703,2e-06,-0.00014,-3e-05,0.00029,0.00011,-0.00015
130.27,0.11524,0.09918,0.05156,0.02447,0.00723,5e-05,-0.00013,-3e-05,0.0003,0.00011,-0.00016
130.86,0.11524,0.09918,0.05222,0.02491,0.00744,0.00011,-0.00011,-4e-05,0.0003,0.0001,-0.00016
131.45,0.11524,0.09918,0.05287,0.02535,0.00765,0.00016,-0.0001,-4e-05,0.0003,9e-05,-0.00016
132.05,0.11524,0.09918,0.05352,0.0258,0.00787,0.00022,-9e-05,-5e-05,0.0003,8e-05,-0.00016
132.64,0.11524,0.09918,0.05417,0.02625,0.00809,0.00028,-8e-05,-5e-05,0.00031,7e-05,-0.00016
133.23,0.11524,0.09918,0.05481,0.02671,0.00832,0.00035,-7e-05,-6e-05,0.00031,6e-05,-0.00016
133.83,0.11524,0.09918,0.05544,0.02716,0.00855,0.00042,-6e-05,-6e-05,0.00031,5e-05,-0.00016
134.42,0.11524,0.09918,0.05608,0.02761,0.00879,0.00049,-5e-05,-7e-05,0.00032,3e-05,-0.00016
135.01,0.11524,0.09918,0.05672,0.02806,0.00904,0.00057,-4e-05,-7e-05,0.00032,2e-05,-0.00016
135.61,0.11524,0.09918,0.05736,0.0285,0.00929,0.00065,-3e-05,-8e-05,0.00032,5e-06,-0.00016
136.2,0.11524,0.09918,0.05801,0.02895,0.00955,0.00073,-2e-05,-8e-05,0.00032,-9e-06,-0.00016
136.79,0.11524,0.09918,0.05867,0.02938,0.00981,0.00081,-2e-05,-9e-05,0.00032,-2e-05,-0.00017
137.39,0.11524,0.09918,0.05934,0.02982,0.01009,0.0009,-1e-05,-9e-05,0.00033,-4e-05,-0.00017
137.98,0.11524,0.09918,0.06003,0.03025,0.01037,0.00099,-5e-06,-9e-05,0.00033,-5e-05,-0.00017
138.57,0.11524,0.09918,0.06074,0.03068,0.01065,0.00107,-2e-06,-0.0001,0.00033,-7e-05,-0.00017
139.17,0.11524,0.09918,0.06147,0.03111,0.01095,0.00117,-4.76645e-07,-0.0001,0.00033,-8e-05,-0.00017
139.76,0.11524,0.09918,0.06222,0.03154,0.01125,0.00126,-4.44182e-07,-0.0001,0.00033,-0.0001,-0.00017
140.35,0.11524,0.09918,0.06299,0.03196,0.01155,0.00135,-2e-06,-0.00011,0.00033,-0.00012,-0.00017
140.95,0.11524,0.09918,0.06377,0.03239,0.01186,0.00145,-6e-06,-0.00011,0.00033,-0.00013,-0.00017
141.54,0.11524,0.09918,0.06455,0.03282,0.01217,0.00155,-1e-05,-0.00011,0.00033,-0.00015,-0.00017
142.14,0.11524,0.09918,0.06534,0.03324,0.01249,0.00165,-2e-05,-0.00012,0.00032,-0.00016,-0.00017
142.73,0.11524,0.09918,0.06613,0.03367,0.01281,0.00175,-3e-05,-0.00012,0.00032,-0.00018,-0.00017
143.32,0.11524,0.09918,0.06692,0.0341,0.01313,0.00186,-4e-05,-0.00012,0.00032,-0.00019,-0.00017
143.92,0.11524,0.09918,0.06769,0.03453,0.01345,0.00197,-6e-05,-0.00013,0.00031,-0.0002,-0.00017
144.51,0.11524,0.09918,0.06845,0.03497,0.01378,0.00209,-7e-05,-0.00013,0.00031,-0.00022,-0.00017
145.1,0.11524,0.09918,0.06922,0.03541,0.0141,0.00221,-9e-05,-0.00013,0.0003,-0.00023,-0.00017
145.7,0.11524,0.09918,0.07001,0.03585,0.01443,0.00234,-0.00011,-0.00014,0.0003,-0.00024,-0.00017
146.29,0.11524,0.09918,0.07081,0.0363,0.01475,0.00247,-0.00013,-0.00014,0.00029,-0.00025,-0.00017
146.88,0.11524,0.09918,0.07166,0.03676,0.01507,0.00261,-0.00015,-0.00014,0.00028,-0.00026,-0.00017
147.48,0.11524,0.09918,0.07255,0.03723,0.01539,0.00275,-0.00018,-0.00014,0.00027,-0.00027,-0.00017
148.07,0.11524,0.09918,0.07352,0.03771,0.01572,0.0029,-0.0002,-0.00014,0.00026,-0.00028,-0.00017
148.66,0.11524,0.09918,0.07453,0.0382,0.01604,0.00305,-0.00022,-0.00015,0.00025,-0.00028,-0.00017
149.26,0.11524,0.09918,0.07558,0.0387,0.01636,0.00321,-0.00024,-0.00015,0.00024,-0.00029,-0.00017
149.85,0.11524,0.09918,0.07663,0.03922,0.01668,0.00338,-0.00026,-0.00015,0.00022,-0.00029,-0.00016
150.44,0.11524,0.09918,0.07765,0.03975,0.017,0.00355,-0.00028,-0.00015,0.00021,-0.0003,-0.00016
151.04,0.11524,0.09918,0.07863,0.04029,0.01732,0.00372,-0.0003,-0.00015,0.0002,-0.0003,-0.00016
151.63,0.11524,0.09918,0.07953,0.04084,0.01765,0.0039,-0.00031,-0.00015,0.00018,-0.0003,-0.00016
152.22,0.11524,0.09918,0.08038,0.04139,0.01797,0.00408,-0.00032,-0.00015,0.00016,-0.0003,-0.00016
152.82,0.11524,0.09918,0.08119,0.04195,0.0183,0.00426,-0.00033,-0.00015,0.00015,-0.0003,-0.00016
153.41,0.11524,0.09918,0.08196,0.04252,0.01863,0.00444,-0.00033,-0.00015,0.00013,-0.0003,-0.00016
154,0.11524,0.09918,0.08272,0.04309,0.01895,0.00463,-0.00033,-0.00015,0.00011,-0.00029,-0.00016
154.6,0.11524,0.09918,0.08346,0.04367,0.01929,0.00482,-0.00032,-0.00015,0.0001,-0.00029,-0.00016
155.19,0.11524,0.09918,0.08387,0.04425,0.01962,0.00502,-0.00031,-0.00015,8e-05,-0.00028,-0.00016
155.78,0.11524,0.09918,0.08387,0.04483,0.01996,0.00521,-0.00029,-0.00015,6e-05,-0.00028,-0.00016
156.38,0.11524,0.09918,0.08387,0.04541,0.0203,0.00541,-0.00027,-0.00015,4e-05,-0.00027,-0.00015
156.97,0.11524,0.09918,0.08387,0.04599,0.02064,0.00561,-0.00024,-0.00015,2e-05,-0.00026,-0.00015
157.57,0.11524,0.09918,0.08387,0.04657,0.02099,0.00581,-0.00021,-0.00015,8e-06,-0.00026,-0.00015
158.16,0.11524,0.09918,0.08387,0.04716,0.02135,0.00601,-0.00016,-0.00015,-9e-06,-0.00025,-0.00015
158.75,0.11524,0.09918,0.08387,0.04774,0.02171,0.00622,-0.00012,-0.00015,-3e-05,-0.00024,-0.00015
159.35,0.11524,0.09918,0.08387,0.04833,0.02207,0.00643,-6e-05,-0.00015,-4e-05,-0.00023,-0.00015
159.94,0.11524,0.09918,0.08387,0.04892,0.02245,0.00664,-3e-06,-0.00015,-6e-05,-0.00022,-0.00015
160.53,0.11524,0.09918,0.08387,0.04951,0.02282,0.00685,6e-05,-0.00014,-7e-05,-0.00021,-0.00015
161.13,0.11524,0.09918,0.08387,0.05011,0.02321,0.00707,0.00013,-0.00014,-8e-05,-0.0002,-0.00014
161.72,0.11524,0.09918,0.08387,0.05071,0.0236,0.00729,0.0002,-0.00014,-0.0001,-0.00018,-0.00014
162.31,0.11524,0.09918,0.08387,0.05132,0.02399,0.00751,0.00028,-0.00014,-0.00011,-0.00017,-0.00014
162.91,0.11524,0.09918,0.08387,0.05193,0.02439,0.00773,0.00036,-0.00014,-0.00012,-0.00016,-0.00014
163.5,0.11524,0.09918,0.08387,0.05255,0.02479,0.00796,0.00045,-0.00014,-0.00012,-0.00015,-0.00014
164.09,0.11524,0.09918,0.08387,0.05318,0.0252,0.00819,0.00053,-0.00014,-0.00013,-0.00014,-0.00014
164.69,0.11524,0.09918,0.08387,0.05382,0.0256,0.00843,0.00062,-0.00013,-0.00014,-0.00012,-0.00014
165.28,0.11524,0.09918,0.08387,0.05447,0.02601,0.00866,0.00072,-0.00013,-0.00014,-0.00011,-0.00013
165.87,0.11524,0.09918,0.08387,0.05512,0.02642,0.0089,0.00081,-0.00013,-0.00014,-0.0001,-0.00013
166.47,0.11524,0.09918,0.08387,0.05577,0.02683,0.00914,0.00091,-0.00013,-0.00015,-9e-05,-0.00013
167.06,0.11524,0.09918,0.08387,0.05642,0.02724,0.00938,0.00102,-0.00013,-0.00015,-7e-05,-0.00013
167.65,0.11524,0.09918,0.08387,0.05707,0.02765,0.00963,0.00112,-0.00013,-0.00015,-6e-05,-0.00013
168.25,0.11524,0.09918,0.08387,0.05771,0.02805,0.00987,0.00123,-0.00013,-0.00014,-5e-05,-0.00013
168.84,0.11524,0.09918,0.08387,0.05835,0.02846,0.01012,0.00133,-0.00013,-0.00014,-4e-05,-0.00013
169.43,0.11524,0.09918,0.08387,0.05898,0.02887,0.01037,0.00144,-0.00013,-0.00014,-3e-05,-0.00012
170.03,0.11524,0.09918,0.08387,0.05961,0.02927,0.01062,0.00156,-0.00013,-0.00013,-1e-05,-0.00012
170.62,0.11524,0.09918,0.08387,0.06024,0.02968,0.01087,0.00167,-0.00013,-0.00013,-3e-06,-0.00012
171.22,0.11524,0.09918,0.08387,0.06087,0.03009,0.01113,0.00179,-0.00013,-0.00012,7e-06,-0.00012
171.81,0.11524,0.09918,0.08387,0.06151,0.0305,0.01138,0.0019,-0.00013,-0.00012,2e-05,-0.00012
172.4,0.11524,0.09918,0.08387,0.06215,0.03091,0.01164,0.00202,-0.00013,-0.00011,3e-05,-0.00012
173,0.11524,0.09918,0.08387,0.06281,0.03133,0.0119,0.00214,-0.00013,-0.0001,3e-05,-0.00012
173.59,0.11524,0.09918,0.08387,0.06348,0.03176,0.01216,0.00226,-0.00013,-0.0001,4e-05,-0.00012
174.18,0.11524,0.09918,0.08387,0.06418,0.03219,0.01242,0.00238,-0.00013,-9e-05,5e-05,-0.00011
174.78,0.11524,0.09918,0.08387,0.06489,0.03262,0.01268,0.00251,-0.00013,-8e-05,6e-05,-0.00011
175.37,0.11524,0.09918,0.08387,0.06563,0.03306,0.01295,0.00263,-0.00012,-7e-05,6e-05,-0.00011
175.96,0.11524,0.09918,0.08387,0.06638,0.03352,0.01322,0.00275,-0.00012,-6e-05,6e-05,-0.00011
176.56,0.11524,0.09918,0.08387,0.06715,0.03398,0.01349,0.00288,-0.00012,-5e-05,7e-05,-0.00011
177.15,0.11524,0.09918,0.08387,0.06793,0.03445,0.01376,0.003,-0.00012,-4e-05,7e-05,-0.00011
177.74,0.11524,0.09918,0.08387,0.06872,0.03494,0.01404,0.00313,-0.00012,-4e-05,7e-05,-0.00011
178.34,0.11524,0.09918,0.08387,0.06952,0.03542,0.01432,0.00326,-0.00012,-3e-05,8e-05,-0.00011
178.93,0.11524,0.09918,0.08387,0.06989,0.03591,0.0146,0.00338,-0.00011,-2e-05,8e-05,-0.0001
179.52,0.11524,0.09918,0.08387,0.06989,0.0364,0.01489,0.00351,-0.00011,-8e-06,8e-05,-0.0001
180.12,0.11524,0.09918,0.08387,0.06989,0.0369,0.01518,0.00364,-0.00011,9.30371e-07,8e-05,-0.0001
180.71,0.11524,0.09918,0.08387,0.06989,0.03738,0.01548,0.00377,-0.00011,1e-05,8e-05,-0.0001
181.3,0.11524,0.09918,0.08387,0.06989,0.03786,0.01578,0.0039,-0.0001,2e-05,7e-05,-0.0001
181.9,0.11524,0.09918,0.08387,0.06989,0.03833,0.01609,0.00403,-0.0001,3e-05,7e-05,-0.0001
182.49,0.11524,0.09918,0.08387,0.06989,0.03879,0.01641,0.00416,-9e-05,3e-05,7e-05,-0.0001
183.08,0.11524,0.09918,0.08387,0.06989,0.03924,0.01674,0.0043,-9e-05,4e-05,7e-05,-0.0001
183.68,0.11524,0.09918,0.08387,0.06989,0.03968,0.01708,0.00443,-8e-05,4e-05,7e-05,-0.0001
184.27,0.11524,0.09918,0.08387,0.06989,0.04011,0.01742,0.00457,-8e-05,5e-05,6e-05,-0.0001
184.86,0.11524,0.09918,0.08387,0.06989,0.04054,0.01777,0.00472,-7e-05,5e-05,6e-05,-9e-05
185.46,0.11524,0.09918,0.08387,0.06989,0.04096,0.01813,0.00486,-7e-05,5e-05,6e-05,-9e-05
186.05,0.11524,0.09918,0.08387,0.06989,0.04139,0.01849,0.00501,-6e-05,6e-05,5e-05,-9e-05
186.65,0.11524,0.09918,0.08387,0.06989,0.04182,0.01885,0.00516,-5e-05,6e-05,5e-05,-9e-05
187.24,0.11524,0.09918,0.08387,0.06989,0.04225,0.01922,0.00532,-4e-05,6e-05,5e-05,-9e-05
187.83,0.11524,0.09918,0.08387,0.06989,0.0427,0.01959,0.00548,-3e-05,6e-05,5e-05,-9e-05
188.43,0.11524,0.09918,0.08387,0.06989,0.04316,0.01995,0.00564,-2e-05,5e-05,4e-05,-9e-05
189.02,0.11524,0.09918,0.08387,0.06989,0.04363,0.02031,0.00582,-1e-05,5e-05,4e-05,-9e-05
189.61,0.11524,0.09918,0.08387,0.06989,0.04413,0.02067,0.006,3e-06,5e-05,4e-05,-9e-05
190.21,0.11524,0.09918,0.08387,0.06989,0.04465,0.02103,0.00619,2e-05,5e-05,4e-05,-9e-05
190.8,0.11524,0.09918,0.08387,0.06989,0.0452,0.02138,0.00639,3e-05,5e-05,3e-05,-9e-05
191.39,0.11524,0.09918,0.08387,0.06989,0.04579,0.02174,0.0066,5e-05,4e-05,3e-05,-9e-05
191.99,0.11524,0.09918,0.08387,0.06989,0.04639,0.0221,0.00682,7e-05,4e-05,3e-05,-9e-05
192.58,0.11524,0.09918,0.08387,0.06989,0.04702,0.02246,0.00706,9e-05,4e-05,3e-05,-9e-05
193.17,0.11524,0.09918,0.08387,0.06989,0.04766,0.02281,0.0073,0.00012,4e-05,3e-05,-9e-05
193.77,0.11524,0.09918,0.08387,0.06989,0.0483,0.02317,0.00756,0.00015,4e-05,3e-05,-9e-05
194.36,0.11524,0.09918,0.08387,0.06989,0.04894,0.02354,0.00782,0.00018,4e-05,3e-05,-9e-05
194.95,0.11524,0.09918,0.08387,0.06989,0.04957,0.0239,0.00809,0.00022,4e-05,3e-05,-9e-05
195.55,0.11524,0.09918,0.08387,0.06989,0.05019,0.02427,0.00837,0.00026,5e-05,3e-05,-9e-05
196.14,0.11524,0.09918,0.08387,0.06989,0.05079,0.02464,0.00865,0.00031,5e-05,3e-05,-9e-05
196.73,0.11524,0.09918,0.08387,0.06989,0.05137,0.02501,0.00892,0.00037,5e-05,3e-05,-9e-05
197.33,0.11524,0.09918,0.08387,0.06989,0.05195,0.02538,0.00919,0.00044,6e-05,3e-05,-9e-05
197.92,0.11524,0.09918,0.08387,0.06989,0.05251,0.02576,0.00946,0.00051,6e-05,3e-05,-9e-05
198.51,0.11524,0.09918,0.08387,0.06989,0.05307,0.02614,0.00971,0.0006,7e-05,3e-05,-9e-05
199.11,0.11524,0.09918,0.08387,0.06989,0.05362,0.02652,0.00996,0.00069,7e-05,3e-05,-9e-05
199.7,0.11524,0.09918,0.08387,0.06989,0.05416,0.0269,0.0102,0.00078,8e-05,3e-05,-9e-05
200.3,0.11524,0.09918,0.08387,0.06989,0.0547,0.02729,0.01043,0.00089,8e-05,3e-05,-9e-05
200.89,0.11524,0.09918,0.08387,0.06989,0.05523,0.02767,0.01065,0.001,8e-05,3e-05,-9e-05
201.48,0.11524,0.09918,0.08387,0.06989,0.05576,0.02806,0.01087,0.00111,9e-05,3e-05,-9e-05
202.08,0.11524,0.09918,0.08387,0.06989,0.05629,0.02845,0.01109,0.00123,9e-05,3e-05,-9e-05
202.67,0.11524,0.09918,0.08387,0.06989,0.05682,0.02884,0.01131,0.00136,9e-05,4e-05,-9e-05
203.26,0.11524,0.09918,0.08387,0.06989,0.05735,0.02923,0.01153,0.00148,0.0001,4e-05,-9e-05
203.86,0.11524,0.09918,0.08387,0.06989,0.05755,0.02962,0.01175,0.00161,0.0001,4e-05,-9e-05
204.45,0.11524,0.09918,0.08387,0.06989,0.05755,0.03002,0.01197,0.00175,0.0001,4e-05,-9e-05
205.04,0.11524,0.09918,0.08387,0.06989,0.05755,0.03041,0.0122,0.00188,0.0001,4e-05,-0.0001
205.64,0.11524,0.09918,0.08387,0.06989,0.05755,0.03081,0.01242,0.00202,0.0001,4e-05,-0.0001
206.23,0.11524,0.09918,0.08387,0.06989,0.05755,0.0312,0.01266,0.00217,0.0001,5e-05,-0.0001
206.82,0.11524,0.09918,0.08387,0.06989,0.05755,0.0316,0.0129,0.00231,9e-05,5e-05,-0.0001
207.42,0.11524,0.09918,0.08387,0.06989,0.05755,0.032,0.01314,0.00246,9e-05,5e-05,-0.0001
208.01,0.11524,0.09918,0.08387,0.06989,0.05755,0.0324,0.0134,0.00261,8e-05,6e-05,-0.0001
208.6,0.11524,0.09918,0.08387,0.06989,0.05755,0.0328,0.01366,0.00277,8e-05,6e-05,-0.00011
209.2,0.11524,0.09918,0.08387,0.06989,0.05755,0.03321,0.01393,0.00293,7e-05,6e-05,-0.00011
209.79,0.11524,0.09918,0.08387,0.06989,0.05755,0.03361,0.01421,0.00309,5e-05,6e-05,-0.00011
210.38,0.11524,0.09918,0.08387,0.06989,0.05755,0.03403,0.01449,0.00325,4e-05,7e-05,-0.00011
210.98,0.11524,0.09918,0.08387,0.06989,0.05755,0.03445,0.01478,0.00342,2e-05,7e-05,-0.00011
211.57,0.11524,0.09918,0.08387,0.06989,0.05755,0.03487,0.01508,0.00359,-5.29056e-07,8e-05,-0.00012
212.16,0.11524,0.09918,0.08387,0.06989,0.05755,0.03531,0.01538,0.00376,-2e-05,8e-05,-0.00012
212.76,0.11524,0.09918,0.08387,0.06989,0.05755,0.03576,0.01568,0.00394,-4e-05,8e-05,-0.00012
213.35,0.11524,0.09918,0.08387,0.06989,0.05755,0.03621,0.01599,0.00412,-6e-05,9e-05,-0.00012
213.94,0.11524,0.09918,0.08387,0.06989,0.05755,0.03668,0.01631,0.00431,-8e-05,9e-05,-0.00013
214.54,0.11524,0.09918,0.08387,0.06989,0.05755,0.03715,0.01662,0.00449,-0.0001,9e-05,-0.00013
215.13,0.11524,0.09918,0.08387,0.06989,0.05755,0.03764,0.01694,0.00469,-0.00011,0.0001,-0.00013
215.73,0.11524,0.09918,0.08387,0.06989,0.05755,0.03814,0.01726,0.00488,-0.00012,0.0001,-0.00014
216.32,0.11524,0.09918,0.08387,0.06989,0.05755,0.03864,0.01758,0.00508,-0.00013,0.0001,-0.00014
216.91,0.11524,0.09918,0.08387,0.06989,0.05755,0.03914,0.0179,0.00529,-0.00012,0.0001,-0.00014
217.51,0.11524,0.09918,0.08387,0.06989,0.05755,0.03965,0.01822,0.0055,-0.00011,0.0001,-0.00014
218.1,0.11524,0.09918,0.08387,0.06989,0.05755,0.04017,0.01855,0.00571,-9e-05,0.0001,-0.00015
218.69,0.11524,0.09918,0.08387,0.06989,0.05755,0.04068,0.01887,0.00593,-6e-05,0.0001,-0.00015
219.29,0.11524,0.09918,0.08387,0.06989,0.05755,0.0412,0.01919,0.00615,-3e-05,0.0001,-0.00015
219.88,0.11524,0.09918,0.08387,0.06989,0.05755,0.04171,0.01952,0.00638,2e-05,0.0001,-0.00016
220.47,0.11524,0.09918,0.08387,0.06989,0.05755,0.04223,0.01984,0.00661,7e-05,0.0001,-0.00016
221.07,0.11524,0.09918,0.08387,0.06989,0.05755,0.04274,0.02017,0.00685,0.00013,0.0001,-0.00016
221.66,0.11524,0.09918,0.08387,0.06989,0.05755,0.04325,0.0205,0.00709,0.0002,9e-05,-0.00017
222.25,0.11524,0.09918,0.08387,0.06989,0.05755,0.04376,0.02083,0.00734,0.00027,9e-05,-0.00017
222.85,0.11524,0.09918,0.08387,0.06989,0.05755,0.04426,0.02117,0.00758,0.00035,8e-05,-0.00017
223.44,0.11524,0.09918,0.08387,0.06989,0.05755,0.04477,0.0215,0.00783,0.00044,8e-05,-0.00018
224.03,0.11524,0.09918,0.08387,0.06989,0.05755,0.04527,0.02184,0.00809,0.00053,7e-05,-0.00018
224.63,0.11524,0.09918,0.08387,0.06989,0.05755,0.04577,0.02218,0.00834,0.00062,6e-05,-0.00018
225.22,0.11524,0.09918,0.08387,0.06989,0.05755,0.04627,0.02253,0.0086,0.00072,5e-05,-0.00019
225.81,0.11524,0.09918,0.08387,0.06989,0.05755,0.04677,0.02288,0.00885,0.00082,4e-05,-0.00019
226.41,0.11524,0.09918,0.08387,0.06989,0.05755,0.04727,0.02323,0.0091,0.00092,4e-05,-0.00019
227,0.11524,0.09918,0.08387,0.06989,0.05755,0.04777,0.02359,0.00936,0.00103,3e-05,-0.00019
227.59,0.11524,0.09918,0.08387,0.06989,0.05755,0.04827,0.02396,0.00961,0.00114,2e-05,-0.0002
228.19,0.11524,0.09918,0.08387,0.06989,0.05755,0.04877,0.02434,0.00986,0.00125,9e-06,-0.0002
228.78,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.02472,0.0101,0.00137,2e-06,-0.0002
229.38,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.02511,0.01034,0.00148,-5e-06,-0.0002
229.97,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.02551,0.01057,0.0016,-1e-05,-0.00021
230.56,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.02592,0.0108,0.00173,-2e-05,-0.00021
231.16,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.02633,0.01103,0.00185,-2e-05,-0.00021
231.75,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.02675,0.01125,0.00198,-2e-05,-0.00021
232.34,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.02718,0.01148,0.00211,-2e-05,-0.00021
232.94,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.02762,0.0117,0.00225,-2e-05,-0.00021
233.53,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.02805,0.01192,0.00238,-2e-05,-0.00022
234.12,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.02849,0.01215,0.00252,-9e-06,-0.00022
234.72,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.02893,0.01238,0.00267,-9.06642e-07,-0.00022
235.31,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.02936,0.01261,0.00281,1e-05,-0.00022
235.9,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.02979,0.01285,0.00297,2e-05,-0.00022
236.5,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.03021,0.0131,0.00312,4e-05,-0.00022
237.09,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.03063,0.01335,0.00329,6e-05,-0.00021
237.68,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.03105,0.01362,0.00346,9e-05,-0.00021
238.28,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.03145,0.01389,0.00364,0.00012,-0.00021
238.87,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.03186,0.01417,0.00383,0.00015,-0.00021
239.46,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.03226,0.01446,0.00402,0.00019,-0.0002
240.06,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.03266,0.01476,0.00422,0.00024,-0.0002
240.65,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.03306,0.01507,0.00443,0.00029,-0.0002
241.24,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.03345,0.01538,0.00464,0.00035,-0.00019
241.84,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.03384,0.0157,0.00485,0.00042,-0.00018
242.43,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.03424,0.01603,0.00507,0.00049,-0.00018
243.03,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.03463,0.01636,0.00529,0.00057,-0.00017
243.62,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.03502,0.01669,0.00551,0.00066,-0.00016
244.21,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.03541,0.01703,0.00573,0.00075,-0.00015
244.81,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.03569,0.01738,0.00596,0.00085,-0.00014
245.4,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.03569,0.01773,0.00619,0.00096,-0.00013
245.99,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.03569,0.01808,0.00642,0.00108,-0.00012
246.59,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.03569,0.01843,0.00666,0.0012,-0.0001
247.18,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.03569,0.01878,0.00689,0.00132,-9e-05
247.77,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.03569,0.01914,0.00713,0.00145,-7e-05
248.37,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.03569,0.01951,0.00737,0.00158,-5e-05
248.96,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.03569,0.01987,0.00761,0.00172,-3e-05
249.55,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.03569,0.02024,0.00786,0.00186,-1e-05
250.15,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.03569,0.02062,0.00811,0.002,1e-05
250.74,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.03569,0.021,0.00836,0.00214,4e-05
251.33,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.03569,0.02139,0.00861,0.00228,7e-05
251.93,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.03569,0.02178,0.00887,0.00241,0.0001
252.52,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.03569,0.02218,0.00914,0.00255,0.00014
253.11,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.03569,0.02259,0.00941,0.00268,0.00017
253.71,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.03569,0.023,0.00968,0.00281,0.00021
254.3,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.03569,0.02343,0.00997,0.00294,0.00026
254.89,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.03569,0.02386,0.01026,0.00307,0.00031
255.49,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.03569,0.02429,0.01055,0.00319,0.00036
256.08,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.03569,0.02474,0.01086,0.00332,0.00041
256.67,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.03569,0.02518,0.01118,0.00344,0.00047
257.27,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.03569,0.02563,0.0115,0.00356,0.00053
257.86,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.03569,0.02609,0.01183,0.00369,0.0006
258.46,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.03569,0.02654,0.01218,0.00381,0.00066
259.05,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.03569,0.02662,0.01253,0.00394,0.00074
259.64,0.11524,0.09918,0.08387,0.06989,0.05755,0.04894,0.03569,0.02662,0.01289,0.00406,0.00081
