PlateVoltage,0,-4,-8,-12,-16,-20,-25,-30,-35,-40,-45,-50,-60
19.679,0.069736,0.071457,0.070887,0.070006,0.068054,0.067733,0.068036,0.053258,0.038059,0.022025,0.015248,0.009303,0.00348
21.186,0.076813,0.07908,0.078575,0.077767,0.075617,0.076308,0.071234,0.0548,0.038661,0.022289,0.015334,0.009408,0.00349
22.086,0.081604,0.083638,0.083172,0.082407,0.080139,0.08191,0.07294,0.055473,0.038968,0.022401,0.015376,0.00946,0.003489
22.09,0.081623,0.083655,0.083189,0.082425,0.080156,0.081932,0.072946,0.055475,0.038969,0.022401,0.015376,0.009461,0.003489
22.835,0.085584,0.087328,0.08699,0.086261,0.083895,0.086873,0.07427,0.055917,0.039198,0.022471,0.015408,0.009499,0.003486
23.898,0.091239,0.092571,0.092415,0.091738,0.089233,0.09336,0.07604,0.056431,0.039488,0.022541,0.015453,0.009549,0.003477
24.198,0.092835,0.09405,0.094032,0.093283,0.090738,0.094853,0.076515,0.05656,0.039562,0.022556,0.015465,0.009562,0.003474
24.503,0.094456,0.095553,0.095675,0.094854,0.092269,0.096247,0.076985,0.056687,0.039635,0.022569,0.015477,0.009574,0.003471
24.885,0.096488,0.097437,0.097734,0.097045,0.094187,0.097833,0.077556,0.05684,0.039721,0.022584,0.015493,0.009589,0.003466
25.755,0.101117,0.101728,0.102423,0.102036,0.098555,0.100874,0.078773,0.057171,0.039902,0.022609,0.015528,0.009621,0.003453
26.443,0.104778,0.105122,0.106133,0.105985,0.102011,0.102838,0.079636,0.057419,0.040029,0.022626,0.015554,0.009643,0.003442
26.62,0.105721,0.105996,0.107088,0.107002,0.1029,0.103292,0.07984,0.057481,0.040059,0.022629,0.015561,0.009649,0.003438
27.818,0.112089,0.1119,0.113541,0.113869,0.110358,0.105922,0.081014,0.057883,0.040244,0.022655,0.015606,0.009683,0.003416
27.822,0.11211,0.11192,0.113562,0.113887,0.110382,0.105929,0.081017,0.057884,0.040245,0.022655,0.015606,0.009683,0.003416
28.421,0.115301,0.115616,0.116795,0.116611,0.114119,0.107008,0.08147,0.058076,0.040324,0.02267,0.015628,0.009699,0.003403
28.745,0.117023,0.117611,0.118522,0.11808,0.116135,0.107536,0.081683,0.058176,0.040364,0.022678,0.01564,0.009707,0.003396
30.234,0.124944,0.126787,0.126467,0.124841,0.12541,0.109585,0.082478,0.058615,0.040521,0.022728,0.015692,0.009741,0.003363
30.442,0.126047,0.128065,0.127572,0.125993,0.126701,0.109832,0.082574,0.058672,0.040539,0.022737,0.015699,0.009745,0.003358
30.534,0.12654,0.128636,0.128067,0.126509,0.127279,0.109941,0.082617,0.058698,0.040547,0.022741,0.015702,0.009747,0.003356
30.536,0.126548,0.128645,0.128075,0.126517,0.127281,0.109942,0.082617,0.058699,0.040548,0.022741,0.015702,0.009747,0.003356
31.234,0.130409,0.132948,0.1318,0.130399,0.12858,0.110716,0.082929,0.058887,0.040605,0.022773,0.015725,0.009761,0.003339
32.646,0.138218,0.141649,0.139333,0.13825,0.131208,0.112092,0.083543,0.059241,0.0407,0.02285,0.015769,0.009786,0.003305
