x,Curve1
4.73,0.0101
10.46,0.07076
15.33,0.11353
28.82,0.1664
46.96,0.2107
68.91,0.234
95.49,0.24874
126.74,0.2588
162.65,0.26497
197.77,0.26958
230.54,0.27186
250.83,0.27417

x,Curve2
4.75,0.01477
11.21,0.06532
31.73,0.11817
51.35,0.14536
85,0.16942
127.18,0.18336
177.93,0.19339
239.58,0.19874
294.19,0.20099
361.29,0.20477

x,Curve3
3.2,0.01788
15.82,0.04898
39.34,0.07538
77.66,0.09866
130.78,0.11646
185.41,0.1226
271.24,0.12791
436.65,0.13854
495.96,0.14312

x,Curve4
8.68,0.02254
32.9,0.03028
64.16,0.04346
102.44,0.05662
157.84,0.06198
225.73,0.06732
297.51,0.07031
368.5,0.07254
421.56,0.07634
494.9,0.08012

x,Curve5
14.1,0.01398
46.08,0.01237
94.48,0.02085
152.23,0.02776
231.02,0.02842
304.35,0.02986
362.07,0.03133
442.43,0.03431
495.49,0.03734

x,Curve6
19.52,0.00541
68.66,0.00456
103,0.0084
152.93,0.00987
216.9,0.01055
283.2,0.01045
365.1,0.0111
496.93,0.01089
