MAVERICK 16,Eminence,12,75,16,100,Ferrite,75,5200,89,12.13,http://www.eminence.com/speakers/speaker-detail/?model=Maverick_16,http://www.eminence.com/img/speakers/large/Maverick_16--1.jpg,http://www.eminence.com/img/response_graph.png
RED WHITE AND BLUES,Eminence,12,120,8,101,Ferrite,80,4300,110,6.42,http://www.eminence.com/speakers/speaker-detail/?model=Red_White_and_Blues,http://www.eminence.com/img/speakers/large/Red_White_and_Blues--1.jpg,http://www.eminence.com/img/curves/Red_White_and_Blues.png
SWAMP THANG,Eminence,12,150,8,102,Ferrite,70,4000,97,6.92,http://www.eminence.com/speakers/speaker-detail/?model=Swamp_Thang,http://www.eminence.com/img/speakers/large/Swamp_Thang--1.jpg,http://www.eminence.com/img/curves/Swamp_Thang.png
SWAMP THANG 16,Eminence,12,150,16,102.3,Ferrite,70,5100,113,14.7,http://www.eminence.com/speakers/speaker-detail/?model=Swamp_Thang_16,http://www.eminence.com/img/speakers/large/Swamp_Thang_16--1.jpg,http://www.eminence.com/img/curves/Swamp_Thang_16.png
TEXAS HEAT,Eminence,12,150,8,99.4,Ferrite,70,4700,79,7.3,http://www.eminence.com/speakers/speaker-detail/?model=Texas_Heat,http://www.eminence.com/img/speakers/large/Texas_Heat--1.jpg,http://www.eminence.com/img/curves/Texas_Heat.png
TEXAS HEAT 16,Eminence,12,150,16,100.2,Ferrite,70,4600,91,14.7,http://www.eminence.com/speakers/speaker-detail/?model=Texas_Heat_16,http://www.eminence.com/img/speakers/large/Texas_Heat_16--1.jpg,http://www.eminence.com/img/curves/Texas_Heat_16.png
TEXAS HEAT 4,Eminence,12,150,4,99,Ferrite,70,4000,89,3.78,http://www.eminence.com/speakers/speaker-detail/?model=Texas_Heat_4,http://www.eminence.com/img/speakers/large/Texas_Heat_4--1.jpg,http://www.eminence.com/img/curves/Texas_Heat_4.png
EPS-15C,Eminence,15,300,4,100.2,Neodymium,42,2900,42,3.57,http://www.eminence.com/speakers/speaker-detail/?model=EPS_15C,http://www.eminence.com/img/speakers/large/EPS_15C--1.jpg,http://www.eminence.com/img/curves/EPS_15C.png
RAMROD,Eminence,10,75,8,100.2,Ferrite,80,4000,101,7.3,http://www.eminence.com/speakers/speaker-detail/?model=Ramrod,http://www.eminence.com/img/speakers/large/Ramrod--1.jpg,http://www.eminence.com/img/curves/Ramrod.png
RF10C,Eminence,10,50,8,100.4,Ferrite,80,4200,105,5.98,http://www.eminence.com/speakers/speaker-detail/?model=RF10C,http://www.eminence.com/img/speakers/large/RF10C--1.jpg,http://www.eminence.com/img/curves/RF10C.png
CV-65,Eminence,12,65,8,100.6,Ferrite,80,5000,76,6.9,http://www.eminence.com/speakers/speaker-detail/?model=CV-65,http://www.eminence.com/img/speakers/large/CV-65--1.jpg,http://www.eminence.com/img/curves/CV-65.png
CV-75,Eminence,12,75,8,102.2,Ferrite,80,5500,79,6.89,http://www.eminence.com/speakers/speaker-detail/?model=CV-75,http://www.eminence.com/img/speakers/large/CV-75--1.jpg,http://www.eminence.com/img/curves/CV-75.png
CV-7516,Eminence,12,75,16,101.9,Ferrite,80,5700,80,14.23,http://www.eminence.com/speakers/speaker-detail/?model=CV-7516,http://www.eminence.com/img/speakers/large/CV-7516--1.jpg,http://www.eminence.com/img/curves/CV-7516.png
MAN O WAR,Eminence,12,120,8,101.6,Ferrite,80,5000,91,6.2,http://www.eminence.com/speakers/speaker-detail/?model=Man_O_War,http://www.eminence.com/img/speakers/large/Man_O_War--1.jpg,http://www.eminence.com/img/curves/Man_O_War.png
MAN O WAR 16,Eminence,12,120,16,101.6,Ferrite,80,5500,102,13.1,http://www.eminence.com/speakers/speaker-detail/?model=Man_O_War_16,http://www.eminence.com/img/speakers/large/Man_O_War_16--1.jpg,http://www.eminence.com/img/curves/Man_O_War_16.png
PRIVATE JACK,Eminence,12,50,8,101,Ferrite,80,5000,96,7.01,http://www.eminence.com/speakers/speaker-detail/?model=Private_Jack,http://www.eminence.com/img/speakers/large/Private_Jack--1.jpg,http://www.eminence.com/img/curves/Private_Jack.png
PRIVATE JACK 16,Eminence,12,50,16,100.3,Ferrite,80,6000,101,14,http://www.eminence.com/speakers/speaker-detail/?model=Private_Jack_16,http://www.eminence.com/img/speakers/large/Private_Jack_16--1.jpg,http://www.eminence.com/img/curves/Private_Jack_16.png
RED FANG,Eminence,12,50,8,102.5,Alnico,80,5200,97,5.72,http://www.eminence.com/speakers/speaker-detail/?model=Red_Fang,http://www.eminence.com/img/speakers/large/Red_Fang--1.jpg,http://www.eminence.com/img/curves/Red_Fang.png
REIGNMAKER,Eminence,12,75,8,100,Ferrite,80,6200,91,5.98,http://www.eminence.com/speakers/speaker-detail/?model=Reignmaker,http://www.eminence.com/img/speakers/large/Reignmaker--1.jpg,http://www.eminence.com/img/response_graph.png
REIGNMAKER 16,Eminence,12,75,16,100,Ferrite,80,6200,104,12.14,http://www.eminence.com/speakers/speaker-detail/?model=Reignmaker_16,http://www.eminence.com/img/speakers/large/Reignmaker_16--1.jpg,http://www.eminence.com/img/response_graph.png
THE GOVERNOR,Eminence,12,75,8,102.3,Ferrite,80,4200,101,6.81,http://www.eminence.com/speakers/speaker-detail/?model=Governor,http://www.eminence.com/img/speakers/large/Governor--1.jpg,http://www.eminence.com/img/curves/Governor.png
THE GOVERNOR 16,Eminence,12,75,16,102.2,Ferrite,80,5000,103,14,http://www.eminence.com/speakers/speaker-detail/?model=Governor_16,http://www.eminence.com/img/speakers/large/Governor_16--1.jpg,http://www.eminence.com/img/curves/Governor_16.png
THE TONKER,Eminence,12,150,8,101.5,Ferrite,70,5000,89,7.36,http://www.eminence.com/speakers/speaker-detail/?model=Tonker,http://www.eminence.com/img/speakers/large/Tonker--1.jpg,http://www.eminence.com/img/curves/Tonker.png
THE TONKER 16,Eminence,12,150,16,102,Ferrite,70,5400,97,14.63,http://www.eminence.com/speakers/speaker-detail/?model=Tonker_16,http://www.eminence.com/img/speakers/large/Tonker_16--1.jpg,http://www.eminence.com/img/curves/Tonker_16.png
THE WIZARD,Eminence,12,75,8,102.8,Ferrite,80,5300,89,6.13,http://www.eminence.com/speakers/speaker-detail/?model=Wizard,http://www.eminence.com/img/speakers/large/Wizard--1.jpg,http://www.eminence.com/img/curves/Wizard.png
THE WIZARD 16,Eminence,12,75,16,103.5,Ferrite,80,6000,100,13.2,http://www.eminence.com/speakers/speaker-detail/?model=Wizard_16,http://www.eminence.com/img/speakers/large/Wizard_16--1.jpg,http://www.eminence.com/img/curves/Wizard_16.png
TONKERLITE,Eminence,12,125,8,101.1,Neodymium,80,5000,109,7.2,http://www.eminence.com/speakers/speaker-detail/?model=Tonkerlite,http://www.eminence.com/img/speakers/large/Tonkerlite--1.jpg,http://www.eminence.com/img/curves/Tonkerlite.png
