PlateVoltage,0V,-4V,-8V,-12V,-16V,-20V,-24V,-28V,-32V
105.73,0.41433,0.33373,0.25434,0.18874,0.13357,0.08587,0.05018,0.03051,0.01713
109.17,0.41684,0.33623,0.25653,0.19069,0.13554,0.08729,0.05126,0.03136,0.01764
112.8,0.41941,0.33873,0.25874,0.19263,0.13749,0.08877,0.05238,0.03224,0.01815
113.38,0.41981,0.33912,0.25908,0.19294,0.13779,0.08901,0.05256,0.03238,0.01822
117.65,0.42271,0.34185,0.26153,0.19508,0.13988,0.09075,0.05386,0.0334,0.01878
119.2,0.42374,0.34279,0.26238,0.19583,0.14059,0.09138,0.05434,0.03376,0.01898
119.72,0.42409,0.3431,0.26265,0.19608,0.14082,0.09159,0.0545,0.03388,0.01905
122.06,0.42562,0.34446,0.26389,0.19718,0.14184,0.09252,0.05522,0.03442,0.01934
132.99,0.43245,0.35013,0.26911,0.20192,0.14608,0.09665,0.05863,0.03683,0.02065
138.63,0.43579,0.3527,0.27152,0.20417,0.14802,0.0986,0.06038,0.03796,0.02132
140.4,0.4368,0.35347,0.27224,0.20485,0.1486,0.09917,0.06092,0.03829,0.02153
149.57,0.44174,0.35723,0.27578,0.20822,0.15149,0.10193,0.06357,0.03983,0.02253
150.33,0.44213,0.35753,0.27606,0.20849,0.15172,0.10214,0.06378,0.03994,0.02261
150.47,0.44219,0.35758,0.27611,0.20853,0.15176,0.10218,0.06382,0.03996,0.02263
154.99,0.44434,0.35932,0.27774,0.21009,0.15312,0.10338,0.06501,0.04056,0.02306
155.17,0.44442,0.35939,0.2778,0.21016,0.15317,0.10343,0.06505,0.04058,0.02307
155.41,0.44452,0.35948,0.27789,0.21024,0.15324,0.10349,0.06511,0.04061,0.02309
163.03,0.44765,0.36227,0.2805,0.21274,0.15548,0.10532,0.06686,0.0414,0.02366
168.18,0.44947,0.36409,0.28219,0.21435,0.15693,0.10646,0.06787,0.04179,0.0239
177.17,0.45222,0.36714,0.28498,0.21701,0.1593,0.10827,0.0693,0.04229,0.02409
180.93,0.45326,0.36837,0.28608,0.21806,0.16022,0.10897,0.06979,0.04244,0.0241
181.63,0.45345,0.36859,0.28628,0.21826,0.16038,0.1091,0.06988,0.04246,0.02411
190.28,0.45567,0.37129,0.28867,0.22053,0.16227,0.11058,0.07081,0.04271,0.02413
193.27,0.45641,0.37217,0.28945,0.22127,0.16285,0.11106,0.07109,0.04279,0.02416
198.99,0.45779,0.37381,0.29089,0.22263,0.16385,0.11193,0.07158,0.04292,0.02424
199.66,0.45795,0.37399,0.29105,0.22279,0.16396,0.11203,0.07164,0.04294,0.02425
201.95,0.4585,0.37462,0.2916,0.2233,0.16433,0.11235,0.07182,0.04299,0.02429
204.37,0.45907,0.37527,0.29217,0.22384,0.16469,0.11269,0.07202,0.04306,0.02434
210.03,0.45907,0.37675,0.29346,0.22502,0.16548,0.11342,0.07244,0.04323,0.02444
214.84,0.45907,0.37796,0.29451,0.22597,0.16609,0.11401,0.0728,0.04341,0.02452
220.86,0.45907,0.37942,0.29578,0.2271,0.16677,0.11467,0.07323,0.0437,0.0246
222.79,0.45907,0.37988,0.29618,0.22745,0.16698,0.11488,0.07338,0.0438,0.02462
237.22,0.45907,0.38308,0.299,0.22989,0.16838,0.11619,0.07449,0.04473,0.0247
246.21,0.45907,0.38483,0.30067,0.23132,0.16916,0.11685,0.07516,0.04534,0.02481
247.1,0.45907,0.38499,0.30083,0.23146,0.16924,0.11691,0.07522,0.0454,0.02483
247.97,0.45907,0.38514,0.30099,0.23159,0.16931,0.11696,0.07528,0.04545,0.02485
